symbol,open,high,low,close,volume
EGX:MFPC,3.83393263,3.99451185,2.87684727,3.17084342,2183533.39131366
EGX:MFPC,3.05660031,3.05660031,2.85447817,2.88403739,998019.32067335
EGX:MFPC,2.79615829,2.79615829,2.59563396,2.60442156,648827.71643886
EGX:MFPC,2.38871808,2.75621317,2.35756089,2.57406351,962458.02922157
EGX:MFPC,2.5964327,2.64037225,2.45662479,2.56287896,403703.89718503
EGX:MFPC,2.55568868,2.55648758,2.36874553,2.454228,709561.044888
EGX:MFPC,2.454228,2.51654246,2.42946211,2.47340166,360557.19826413
EGX:MFPC,2.46860832,2.47659735,2.35756089,2.42546767,465438.59955749
EGX:MFPC,2.37673455,2.47659735,2.37673455,2.44544023,287481.93621011
EGX:MFPC,2.44544023,2.47340166,2.36794654,2.3991039,163499.32732949
EGX:MFPC,2.3991039,2.41428288,2.30004,2.33039821,423318.30890799
EGX:MFPC,2.33039821,2.33039821,2.1562375,2.1993783,510162.46240761
EGX:MFPC,2.1993783,2.26888273,2.11709128,2.17541115,440980.04148049
EGX:MFPC,2.17541115,2.24891017,2.1586342,2.21855188,271172.0584341
EGX:MFPC,2.21855188,2.30882785,2.20497054,2.24891017,443383.33889645
EGX:MFPC,2.24891017,2.24891017,2.17141664,2.19458473,261596.42029238
EGX:MFPC,2.19458473,2.21295964,2.17061774,2.18260127,301125.6559153
EGX:MFPC,2.18260127,2.20497054,2.1570364,2.17381327,187469.71561888
EGX:MFPC,2.17381327,2.20097595,2.03879885,2.09711872,158605.11227929
EGX:MFPC,2.09711872,2.09711872,1.95091959,1.98607137,250193.27474062
EGX:MFPC,1.98607137,1.98607137,1.87742057,1.90937666,315270.06258215
EGX:MFPC,1.90937666,1.97568556,1.88860512,1.93334381,509010.8823958
EGX:MFPC,1.93334381,2.03320661,1.88780622,1.9565119,818235.14991592
EGX:MFPC,1.9565119,2.02521751,1.89739313,1.93174593,311001.70623401
EGX:MFPC,1.93174593,1.94532727,1.89499634,1.92136012,208686.32561915
EGX:MFPC,1.92136012,1.96130524,1.91736569,1.94053394,276704.64936042
EGX:MFPC,1.94053394,2.01243515,1.94053394,1.98527239,397708.17081917
EGX:MFPC,1.98527239,2.11229794,1.97888117,2.03480425,419312.81321473
EGX:MFPC,2.03480425,2.09711872,2.03480425,2.06676051,348715.95162092
EGX:MFPC,2.06676051,2.12907481,2.05317917,2.08114059,222467.73423879
EGX:MFPC,2.08114059,2.08513518,2.06995604,2.07634726,96244.55120475
EGX:MFPC,2.07634726,2.13306941,2.07634726,2.10111315,156689.98465094
EGX:MFPC,2.10111315,2.11709128,2.0907275,2.10830327,146726.31411394
EGX:MFPC,2.10830327,2.14585184,2.09392303,2.11389559,135022.75638518
EGX:MFPC,2.11389559,2.11389559,2.07634726,2.08034185,248353.25015652
EGX:MFPC,2.08034185,2.08753181,2.07874397,2.08513518,90411.54810143
EGX:MFPC,2.08513518,2.23692663,2.07794506,2.14025953,536986.76637845
EGX:MFPC,2.14025953,2.19698152,2.08114059,2.14105827,435159.55555121
EGX:MFPC,2.14105827,2.26009488,2.14105827,2.21216074,483788.77670226
EGX:MFPC,2.21216074,2.25210586,2.1570364,2.20576952,288333.10404493
EGX:MFPC,2.20576952,2.23692663,2.11309685,2.20017721,523630.94167622
EGX:MFPC,2.20017721,2.31681687,2.20017721,2.29684431,376992.24778056
EGX:MFPC,2.29684431,2.39670711,2.29684431,2.34557744,503741.15212434
EGX:MFPC,2.34557744,2.43665223,2.33758833,2.39111479,436962.02861318
EGX:MFPC,2.39111479,2.43665223,2.37673455,2.41987536,456914.40403526
EGX:MFPC,2.41987536,2.77299004,2.41987536,2.64756237,1416693.75801196
EGX:MFPC,2.64756237,2.79056598,2.617204,2.66833407,729801.31531304
EGX:MFPC,2.66833407,2.69230106,2.52612937,2.62279664,327574.4446649
EGX:MFPC,2.62279664,2.79615829,2.62279664,2.70907793,504279.39060813
EGX:MFPC,2.70907793,2.78816943,2.64756237,2.70268688,385478.89178067
EGX:MFPC,2.70268688,2.7721913,2.65635038,2.74822431,298509.56654064
EGX:MFPC,2.74822431,2.74822431,2.60601945,2.64836151,176880.18637981
EGX:MFPC,2.64836151,2.64836151,2.57246571,2.59882933,218950.40833314
EGX:MFPC,2.59882933,2.63637782,2.59723144,2.61480746,200737.92010283
EGX:MFPC,2.61480746,2.61480746,2.54849856,2.57486234,276717.16653446
